Feature,MAE,RMSE
tair_mean,6.994232757072481,7.759975639955615
tair_max,6.40863731729124,7.1714255629521535
tair_min,7.363335452270692,8.121217108005277
umair_mean,8.99653930862687,10.306362574878685
umair_max,8.546880287818885,9.884463336811
umair_min,8.791655369366442,10.43732354840488
p_mean,11.84446292892799,12.643472491394654
p_max,11.601269245598644,12.413735984904454
p_min,12.023741621227083,12.81353602575985
dewpoint_mean,2.063207863336549,2.563369604763264
dewpoint_max,3.2314434647584602,3.8511863215765643
dewpoint_min,2.21004366001361,2.682650557620215
rain_tot,0.048980293424985555,0.10652860680369035
etp_tot,0.4021827541433273,0.4472505946980428
etpxkc_tot,0.0,0.0
srad_mean,502.4660572400231,571.7028372097005
srad_tot,502.4660572400231,571.7028372097005
hout,0.1964162728518786,0.2778791615585408
wind_max,710.6408024988026,766.061663270601
wind_min,218.09087565860955,273.94468151401264
wind_mean,0.4958322301803046,0.6288279404310184
wind_max.1,0.6050152756233996,0.7768480844649498
wind_dir,0.5928307325581167,0.9770849973336135
hour,2.864308918594944,3.379006262011317
vwc10_min,1.4012433941340157,1.7357119825063592
vwc10_max,1.4050162757038496,1.7420091544463738
vwc10_mean,1.4135271935298044,1.7481788769385254
vwc20_min,17.514138289101755,23.09364262421014
vwc20_max,17.548926956750446,23.135143601366895
vwc20_mean,17.53754200291488,23.121933399173322
vwc30_min,18.71144392553006,24.708418612545287
vwc30_max,18.701515697188775,24.700214952727453
vwc30_mean,18.702566589780027,24.701683147724243
vwc40_min,5.916991307959945,7.8018668204769615
vwc40_max,5.894264357011964,7.771882019479378
vwc40_mean,5.903323917349193,7.784916286931657
vwc50_min,11.446843944415216,15.097794547720307
vwc50_max,11.44721327400876,15.09758682794372
vwc50_mean,11.447764166308806,15.100740058198165
vwc60_min,5.002454323372573,6.58571772246753
vwc60_max,5.004803234830198,6.592784745649605
vwc60_mean,5.103050561142811,6.719660603007541
salinity10_min,1444.1463070559284,1867.3773836740122
salinity10_max,1444.218002388633,1877.9284357142076
salinity10_mean,1420.8092799147764,1823.5765414533405
salinity20_min,879.3226771436257,1205.141303530306
salinity20_max,848.4562223650582,1155.346797788298
salinity20_mean,858.4372975447915,1168.7198815252932
salinity30_min,500.0501027873547,659.1659145285337
salinity30_max,498.79834153743974,657.4562621810751
salinity30_mean,499.3471158117853,658.2859570766312
salinity40_min,117.22313061529817,153.7273586449625
salinity40_max,116.57136534194667,152.49385577821664
salinity40_mean,116.72524521873976,152.93548489571597
salinity50_min,137.14495112720394,179.710197090809
salinity50_max,137.12015387546546,179.3520041453908
salinity50_mean,137.12486845156124,179.52656084399928
salinity60_min,87.44460749096096,114.30512821354917
salinity60_max,87.52654400320516,114.12111571600421
salinity60_mean,87.47289853406154,114.2223613986732
temp10_min,10.624357495483073,12.982710087156189
temp10_max,12.348138657722915,14.573505628366826
temp10_mean,11.64756805823627,13.899243822955434
temp20_min,7.597832466804537,11.17249884982618
temp20_max,8.537580519375034,12.272117517187201
temp20_mean,8.142402860765984,11.806232514250322
temp30_min,7.087785872793871,10.574132229652998
temp30_max,8.12302058062313,11.851406655261046
temp30_mean,7.6153069020182915,11.225096176948798
temp40_min,2.3196562248756587,3.2093288576878676
temp40_max,1.7880137233222755,2.1462948893592686
temp40_mean,2.3494854586219467,3.2215308914546754
temp50_min,1.4111476482997256,1.9583522277327896
temp50_max,1.4611386054595585,2.00765576344031
temp50_mean,1.42947753671129,1.978710150362323
temp60_min,1.3302774559978594,1.646951396569773
temp60_max,1.3397876819715715,1.6563046243165405
temp60_mean,1.331028935277882,1.6482166478192841
