Feature,MAE,RMSE
tair_mean,51.41760465525615,145.26098977969895
tair_max,96.79250589356522,182.32826423035434
tair_min,57.347344904837534,140.2337013522184
umair_mean,96.69356347739314,178.9211451832059
umair_max,81.45639316705237,180.3653174582179
umair_min,95.11292681552096,173.0259370900338
p_mean,99.62987963631029,175.34178976480672
p_max,55.465564390606815,144.12076870106364
p_min,52.78185386321023,137.9439311146869
dewpoint_mean,91.02297508804659,187.32779831760203
dewpoint_max,77.62098000468045,159.05863150512235
dewpoint_min,78.00979829727511,157.21250720175524
rain_tot,92.57250261062802,183.39558600945134
etp_tot,71.98333528535728,149.96765679021155
etpxkc_tot,80.67181937861412,167.06162484185614
srad_mean,46.509707418219826,139.99475036210148
srad_tot,73.39108182652565,171.95848932927487
hout,58.250214629607996,152.20327083551328
wind_max,85.5581335028787,164.9203222295299
wind_min,72.72933842429883,157.36505411428323
wind_mean,85.65650684476815,171.36419465040225
wind_max.1,63.231386173057864,145.19127013463793
wind_dir,75.387588168172,157.89643009375547
hour,78.71989520405639,171.4544851984402
vwc10_min,114.94868640483496,269.040151237416
vwc10_max,83.27218419413201,166.5204405122762
vwc10_mean,83.65050160839033,164.66436345228755
vwc20_min,60.2411260438153,145.11409941738938
vwc20_max,67.86602891382593,151.17040499654954
vwc20_mean,53.64269862195616,150.05134528875055
vwc30_min,78.69644659839558,210.8762640146683
vwc30_max,59.960728588994066,142.75369246666125
vwc30_mean,105.45339577114494,176.951019907136
vwc40_min,60.06010417736123,156.27436789086892
vwc40_max,62.98549630310962,150.79906532774152
vwc40_mean,65.24070824069088,142.2708917763721
vwc50_min,74.10916875726974,157.97202398838996
vwc50_max,78.91108180521621,169.8064443113531
vwc50_mean,73.66478374762039,152.41240256666384
vwc60_min,95.81745208791476,180.8152854407395
vwc60_max,69.8510518308347,170.9390974952535
vwc60_mean,76.34532676357814,160.83318429329597
salinity10_min,72.6179416647208,212.74947815578736
salinity10_max,95.83264671785788,260.5915310453394
salinity10_mean,80.63234454244063,158.64122130456514
salinity20_min,81.38229492609366,171.47990162790612
salinity20_max,57.96302094318104,149.03236894377392
salinity20_mean,61.58889152610717,160.2868628825066
salinity30_min,75.6175503647539,154.25934586897594
salinity30_max,84.02309890722066,169.33124929708362
salinity30_mean,68.82869482066049,152.85733122844846
salinity40_min,69.15992924933376,150.26012672664413
salinity40_max,73.28780909591362,152.64857900199723
salinity40_mean,87.83868247775801,165.34641369466266
salinity50_min,58.09790091771484,159.31474436905123
salinity50_max,67.29049706749556,148.8174919478382
salinity50_mean,79.55286769174639,160.0195210581437
salinity60_min,52.92127495348566,135.569305552843
salinity60_max,47.62067255393488,133.95256229295475
salinity60_mean,59.15408560496798,144.0971239768669
temp10_min,82.60855333440394,159.5935772772745
temp10_max,95.19277109198292,226.49785436911702
temp10_mean,79.3205185102095,154.28700577021073
temp20_min,68.7438943214652,149.08066669345004
temp20_max,79.98593265358208,178.33904156961466
temp20_mean,60.74639469951241,150.77650793400082
temp30_min,60.75273195823616,152.97527434769503
temp30_max,54.272037497392716,149.25521330224558
temp30_mean,49.769457560217,138.6521607330878
temp40_min,71.0295804487569,156.68101506252694
temp40_max,77.61011092892517,157.08709431135583
temp40_mean,86.199331318464,170.09900521470487
temp50_min,87.85787783688538,160.21956516365853
temp50_max,66.7031842379889,150.86064814941463
temp50_mean,84.97402432312042,183.76358859026925
temp60_min,73.25324511321617,171.0579516809023
temp60_max,71.66434585826889,156.97766251781482
temp60_mean,60.68095675284072,164.6675828203875
