Feature,MAE,RMSE
tair_mean,1.7727935933621135,2.1159449454286907
tair_max,1.7218486286769406,2.0456569140443075
tair_min,1.8208256231290154,2.2000103653095913
umair_mean,5.4648865245213,6.9078538612606355
umair_max,6.991969113929249,8.730557175924552
umair_min,6.078620832211504,7.707306323699445
p_mean,1.3731551410995841,1.7297210493978794
p_max,1.5813363618939873,1.9367796598144793
p_min,1.44573255877628,1.8100183344932652
dewpoint_mean,1.7422835929371487,2.099901740933627
dewpoint_max,1.7727265188627153,2.1082406849400135
dewpoint_min,1.8519642036651895,2.2337007851633626
rain_tot,0.0863447982017125,0.12560194088936555
etp_tot,0.1575055753237733,0.19278669287279798
etpxkc_tot,0.0,0.0
srad_mean,206.5063074483426,240.09822597228793
srad_tot,220.67114140077393,265.54066106254896
hout,0.16560011990716525,0.25805343280939136
wind_max,218.23640862751898,248.07534590302782
wind_min,200.2863491735726,256.74460140425316
wind_mean,0.43616825375601503,0.5221191268433577
wind_max.1,0.548782546497951,0.6745070523653662
wind_dir,0.4373443146732366,0.533948472118957
hour,2.8417269983024243,3.2843577273184166
vwc10_min,0.6075657324042275,0.697342929000755
vwc10_max,0.6060240540348658,0.6881033785353058
vwc10_mean,0.6167928734473708,0.6950446081447706
vwc20_min,14.770729573227356,18.650967265439515
vwc20_max,14.966587627004463,18.89368797150073
vwc20_mean,15.084592863410167,19.041247469632896
vwc30_min,19.115460100249386,24.14485098557844
vwc30_max,18.079129368520004,22.84258044580173
vwc30_mean,19.341856942180502,24.431064600186577
vwc40_min,4.514934238144348,5.721452449335283
vwc40_max,2.110849473032729,2.943467184084498
vwc40_mean,3.788034176476024,4.840446815306491
vwc50_min,11.642776821346104,14.707160667437599
vwc50_max,10.825791097731546,13.674381859632279
vwc50_mean,11.48510912944473,14.505883117731353
vwc60_min,4.470625412768783,5.648774924326629
vwc60_max,4.276303259802132,5.405890862565766
vwc60_mean,4.44343957513827,5.6145941650809155
salinity10_min,517.2843391377959,779.332811541695
salinity10_max,470.109393045871,702.6096068370999
salinity10_mean,449.5559511228948,695.7746203448861
salinity20_min,907.6137171199621,1194.511867101116
salinity20_max,857.2890246185019,1121.8427232356948
salinity20_mean,867.3541753224786,1134.8023206564371
salinity30_min,537.7133313503944,678.2493018663585
salinity30_max,490.58578962105724,618.5287781246703
salinity30_mean,517.5593905982282,652.8323330869322
salinity40_min,82.94567856490944,105.10684144532937
salinity40_max,40.7309309104848,59.5098590196943
salinity40_mean,52.41969273875584,70.45186446176355
salinity50_min,106.37622731089368,133.76976487875214
salinity50_max,94.79337614997078,119.49046324482886
salinity50_mean,104.44310050075448,131.1624287482341
salinity60_min,56.69179487624126,71.76611423335311
salinity60_max,55.44675456337621,70.31866742076612
salinity60_mean,60.56804205607477,76.4732873528152
temp10_min,5.547438021742206,7.033568588792183
temp10_max,5.489484201785649,6.746123492946131
temp10_mean,5.573913052100065,6.9669463585622795
temp20_min,5.045370368817767,6.9179486098282155
temp20_max,5.111788646787839,6.934489736026439
temp20_mean,5.1180323792777855,7.008837080656616
temp30_min,4.434095588156441,6.457959078275744
temp30_max,4.866476960403585,7.075730010663607
temp30_mean,4.631737389469326,6.74678443093417
temp40_min,0.6802098375894421,0.872885104924659
temp40_max,0.6258391960357951,0.7821664182197468
temp40_mean,0.6528405746868756,0.8147434595897299
temp50_min,0.35512498361177536,0.4455118805295097
temp50_max,0.35100424330666796,0.45219576032758685
temp50_mean,0.35529820788612254,0.4183715155153353
temp60_min,0.1645074613995418,0.19462952590873386
temp60_max,0.2235128035557828,0.28047361144394595
temp60_mean,0.1427534427573896,0.16582956152174305
