Feature,MAE,RMSE
tair_mean,4.547726729262807,5.2083571817952405
tair_max,4.131747605636141,4.7516410254475065
tair_min,2.439904119155954,3.085430065189224
umair_mean,6.449421916027526,8.309520338607594
umair_max,7.003143900181261,8.668350668213694
umair_min,6.757549699200861,8.50657799345129
p_mean,13.515261029427538,14.398879962570875
p_max,13.755419631667056,14.658851239286562
p_min,13.859359180800007,14.732722694164869
dewpoint_mean,2.022605782694965,2.52136460444587
dewpoint_max,2.0212440451938964,2.4901054867962222
dewpoint_min,3.0694259028882223,3.8379367659788666
rain_tot,0.06393686513913373,0.13782418491361306
etp_tot,0.30418969539040824,0.3598984816414301
etpxkc_tot,0.0,0.0
srad_mean,350.1408137160871,431.10629232626377
srad_tot,350.1408137160871,431.10629232626377
hout,0.16040813816250113,0.2961580304864297
wind_max,457.01901612196417,534.3188458489526
wind_min,220.42762486158531,284.65968686983757
wind_mean,0.501933213004115,0.6538431889041065
wind_max.1,0.6174528465273714,0.7974926378797628
wind_dir,0.5368356097303826,0.9908607909698682
hour,3.0032899103490722,3.4653501970669573
vwc10_min,0.47946619246296135,0.582915936057735
vwc10_max,0.7095977943996166,0.8318203690145437
vwc10_mean,0.4917707131028514,0.6009499401174718
vwc20_min,16.940270866447534,22.218674857423274
vwc20_max,16.96415918101591,22.255581059243468
vwc20_mean,16.95161154296452,22.23389132968345
vwc30_min,18.6885183271378,24.68040885121809
vwc30_max,18.653765185137875,24.624319105580128
vwc30_mean,18.649683197305478,24.625042661187848
vwc40_min,5.67752744381291,7.43406614867767
vwc40_max,5.658803513141286,7.376124906089051
vwc40_mean,5.667003462921957,7.403695093278597
vwc50_min,11.485661221277038,15.163502629277003
vwc50_max,11.496578461763187,15.17645451356075
vwc50_mean,11.495488682082524,15.178581058553778
vwc60_min,5.025807458223777,6.624620806343803
vwc60_max,5.039396101518295,6.650103033386295
vwc60_mean,5.033565639783771,6.639995908496634
salinity10_min,1418.969456489968,1839.6690768608319
salinity10_max,1461.7185696327213,1890.4247515146847
salinity10_mean,1490.130081139958,1925.3956398898108
salinity20_min,869.8348635947998,1192.48705016231
salinity20_max,839.5359835525983,1143.143550722334
salinity20_mean,849.5734293674209,1156.3878715160427
salinity30_min,498.3408282704891,656.9255705151671
salinity30_max,496.49273290333036,654.3693256951142
salinity30_mean,497.02384887214293,655.2482663028562
salinity40_min,112.42790149100686,146.47108368032616
salinity40_max,112.14006729860337,144.92106100180078
salinity40_mean,112.27591176836643,145.80534333111922
salinity50_min,140.27109513695203,183.77030180710565
salinity50_max,140.23886037151874,183.5390948056618
salinity50_mean,140.22529269504054,183.63932997014672
salinity60_min,89.11049737379471,116.76743716049656
salinity60_max,89.19896248095294,116.76091364223265
salinity60_mean,89.01742590829318,116.61377426220099
temp10_min,8.252807720928654,10.805946675529972
temp10_max,9.444331824582031,11.90959967248169
temp10_mean,8.99324147114763,11.493201821098697
temp20_min,6.603122505272813,9.633565210420686
temp20_max,7.511882381336862,10.795788300290988
temp20_mean,7.034599795693221,10.19966609064687
temp30_min,6.399548718859021,9.638929969709402
temp30_max,7.311784757481449,10.665863137847989
temp30_mean,6.834229303842286,10.096018929986116
temp40_min,1.689377114671999,2.2092191643583075
temp40_max,1.65656136379108,2.029755575869145
temp40_mean,1.7334765039491618,2.2485805545451436
temp50_min,0.680066141727909,0.9429797710649056
temp50_max,0.6926653243156629,0.9691648956746025
temp50_mean,0.6539151912737255,0.8973455441910075
temp60_min,0.5465207569459549,0.7685843609297731
temp60_max,0.56346087720634,0.7878744384578329
temp60_mean,0.5491882740759203,0.7705044280639651
