Feature,Importance
wind_max,0.13278273971215632
salinity20_min,0.12242630539142339
salinity30_min,0.10055799327078767
vwc50_min,0.07565255072051061
vwc10_min,0.07189435647660476
salinity40_min,0.06284007451160567
wind_min,0.061309209142656626
vwc60_min,0.052696409482534616
salinity60_min,0.05002237451141165
salinity10_min,0.046306427571238
vwc40_min,0.046281800260184795
vwc20_min,0.04512797143399691
vwc30_min,0.04508145224295117
temp20_min,0.022334943726283397
wind_dir,0.01749065798198826
temp10_min,0.011836857953900033
tair_mean,0.009120642073695477
p_mean,0.008911707693858541
dewpoint_mean,0.008452323183175405
umair_mean,0.0053568165180385655
wind_mean,0.003053799305035656
rain_tot,0.00046258683596256693
